Longitude,Latitude,Altitude,Slope,Curve,Speed,EC_DP,Red,IR,Moisture,Soil_Temp_C
-111.70891,33.0822283,386.3,0.3996,0.052,4.7,335.92,376.08,1231.49,26.83,18.4
-111.7089334,33.0822283,386.3,0.3812,0.0602,4.7,342.29,376.24,1229.55,26.68,18.37
-111.7089567,33.0822283,386.3,0.3689,0.0685,4.7,339.16,375.95,1228.83,26.58,18.34
-111.70898,33.0822283,386.3,0.3587,0.0776,4.69,327.31,375.96,1230.2,26.52,18.34
-111.7090017,33.0822283,386.4,0.3515,0.0859,4.68,313.38,376.63,1231.34,26.49,18.36
-111.709025,33.0822283,386.4,0.3446,0.0951,4.66,302.74,377.18,1229.76,26.48,18.42
-111.7090466,33.0822283,386.4,0.342,0.1029,4.63,300.62,376.52,1225.15,26.48,18.49
-111.70907,33.0822283,386.4,0.345,0.1106,4.6,304.46,374.34,1218.29,26.49,18.57
-111.7090917,33.0822283,386.6,0.3441,0.1179,4.57,309.36,371.99,1213.28,26.51,18.63
-111.7091134,33.0822283,386.6,0.3479,0.124,4.54,313.64,370.36,1212.6,26.55,18.66
-111.709135,33.0822283,386.6,0.3519,0.1303,4.52,318.69,369.82,1216.83,26.62,18.66
-111.7091584,33.0822283,386.6,0.3561,0.137,4.51,323.44,370.16,1223.51,26.73,18.62
-111.70918,33.0822266,386.7,0.3623,0.1426,4.52,321.1,371.18,1227.4,26.85,18.59
-111.7092034,33.0822266,386.8,0.3661,0.1481,4.54,305.35,373.2,1227.75,26.99,18.6
-111.709225,33.0822266,386.7,0.3716,0.1529,4.6,281.7,375.65,1226.26,27.11,18.62
-111.7092484,33.0822266,386.7,0.3714,0.1599,4.69,256.02,377.72,1225.55,27.23,18.65
-111.7092717,33.0822266,386.8,0.3733,0.1675,4.8,240.38,377.89,1225.21,27.32,18.66
-111.709295,33.0822266,386.8,0.3713,0.1743,4.89,236.74,376.61,1222.66,27.37,18.68
-111.70932,33.0822266,386.7,0.3672,0.1836,4.96,239.75,374.92,1217.56,27.39,18.7
-111.709345,33.0822266,386.7,0.3605,0.1935,4.99,242.73,374.02,1214.63,27.4,18.71
-111.70937,33.0822266,386.8,0.3502,0.2013,5.01,245.82,374.16,1216.1,27.4,18.71
-111.709395,33.082225,386.9,0.342,0.2046,5.04,253.59,375.3,1219.84,27.4,18.72
-111.70942,33.082225,386.8,0.3264,0.2047,5.06,266.71,376.5,1223.26,27.4,18.76
-111.709445,33.082225,386.9,0.3139,0.1971,5.08,280.83,376.89,1225.89,27.39,18.82
-111.70947,33.082225,386.9,0.3014,0.1819,5.09,289.33,376.57,1227.43,27.36,18.84
-111.7094934,33.0822233,386.9,0.2918,0.1613,5.08,285.98,376.09,1227.18,27.29,18.82
-111.7095434,33.0822233,387,0.2739,0.1032,5.02,241.9,376.35,1220.53,27.01,18.66
-111.7095667,33.0822233,387,0.2661,0.0743,5.01,229.13,377.01,1218.17,26.87,18.62
-111.7095917,33.0822233,387,0.2665,0.0451,5,223.94,377.02,1215.7,26.72,18.63
-111.7096167,33.0822233,387.1,0.2739,0.0205,5,220.31,376.07,1212.09,26.55,18.68
-111.7096399,33.0822233,387.2,0.2834,0.0031,4.99,216.76,375.01,1207.32,26.4,18.72
-111.7096634,33.0822233,387.3,0.2974,-0.0084,4.98,213.95,374.54,1202.8,26.25,18.73
-111.7096884,33.0822233,387.2,0.3173,-0.0137,4.94,214.83,375.34,1203.51,26.11,18.72
-111.7097116,33.0822216,387.2,0.3395,-0.014,4.9,220.91,377.27,1211.73,26,18.72
-111.709735,33.0822216,387.2,0.3611,-0.0112,4.85,232.65,379.22,1223.48,25.92,18.76
-111.709755,33.0822216,387.1,0.384,-0.0072,4.82,244.55,379.98,1231.78,25.87,18.82
-111.70978,33.0822216,387.1,0.4136,-0.0016,4.79,259.02,379.2,1237.09,25.84,18.88
-111.7098017,33.0822216,387.2,0.4394,0.0023,4.78,271.09,377.5,1237.25,25.84,18.93
-111.709825,33.08222,387.2,0.4668,0.0064,4.76,286.82,375.57,1234.26,25.9,18.95
-111.7098484,33.08222,387.2,0.4922,0.01,4.74,303.77,374.54,1230.16,26.01,18.95
-111.7098717,33.0822216,387.3,0.5165,0.012,4.72,316.97,374.57,1227.1,26.18,18.89
-111.7098934,33.0822216,387.4,0.5375,0.0128,4.7,322.71,374.9,1226.04,26.37,18.8
-111.7099167,33.0822216,387.3,0.5615,0.0122,4.66,321.44,374.68,1226.11,26.57,18.71
-111.7099383,33.0822216,387.4,0.5838,0.0107,4.62,311.82,373.64,1226.57,26.74,18.69
-111.70996,33.0822216,387.4,0.6053,0.0089,4.57,298.03,372.25,1226.91,26.88,18.7
-111.7099833,33.0822216,387.4,0.6273,0.0063,4.52,286.32,371.65,1227.34,26.98,18.72
-111.710005,33.0822216,387.4,0.6459,0.0054,4.49,277.94,372.62,1227.96,27.04,18.73
-111.7100268,33.0822216,387.4,0.6666,0.0035,4.49,264.01,374.66,1228.43,27.06,18.73
-111.7100484,33.0822216,387.4,0.6887,0.0022,4.51,243.48,376.83,1228.3,27.07,18.76
-111.71007,33.0822216,387.3,0.7148,0.0018,4.55,225.65,378.51,1227.42,27.08,18.82
-111.7100933,33.0822216,387.4,0.7469,0.0024,4.6,220.18,379.45,1225.82,27.09,18.89
-111.710115,33.0822216,387.4,0.7797,0.0038,4.64,225.96,379.75,1224.48,27.1,18.92
-111.7101384,33.0822216,387.5,0.8176,0.0063,4.68,235.94,379.77,1223.96,27.12,18.92
-111.7101616,33.0822216,387.6,0.8557,0.0108,4.69,244.08,378.86,1224.28,27.14,18.88
-111.7101834,33.08222,387.7,0.8927,0.0155,4.7,248.08,376.51,1224.58,27.16,18.85
-111.7102067,33.08222,387.7,0.9351,0.0202,4.7,247.05,372.95,1224.86,27.19,18.85
-111.7102284,33.08222,387.7,0.9727,0.0246,4.69,242.78,370.3,1225.69,27.22,18.87
-111.7102517,33.08222,387.8,1.0111,0.0289,4.68,240.4,369.56,1227.36,27.27,18.91
-111.7102734,33.08222,387.7,1.0455,0.0326,4.66,246.26,370.81,1228.88,27.35,18.95
-111.7102967,33.08222,387.7,1.0777,0.0359,4.64,262.36,373.15,1229.77,27.45,18.99
-111.7103183,33.0822216,387.7,1.1026,0.0376,4.62,280.82,375.34,1230.12,27.56,19.03
-111.71034,33.08222,387.6,1.1199,0.0404,4.61,295.14,377.46,1230.86,27.67,19.06
-111.7103617,33.08222,387.7,1.1346,0.0419,4.6,302,379.69,1232.2,27.76,19.08
-111.710385,33.0822183,387.7,1.137,0.0431,4.6,304.44,382.15,1233.43,27.82,19.06
-111.7104084,33.0822183,387.7,1.1313,0.0423,4.59,307.26,383.82,1233.45,27.84,19.02
-111.71043,33.0822183,387.7,1.1208,0.0413,4.58,310.47,383.5,1232.78,27.8,18.99
-111.7104517,33.0822183,387.8,1.1021,0.0394,4.55,310.07,381.01,1232.23,27.72,18.97
-111.7104734,33.0822183,387.8,1.0731,0.0349,4.51,303.57,377.41,1231.9,27.61,18.97
-111.710495,33.08222,387.7,1.0419,0.0298,4.46,294.83,374.76,1231.29,27.48,19
-111.7105166,33.0822183,387.8,1.0068,0.0225,4.4,289.73,374.36,1230.01,27.35,19.04
-111.7105366,33.0822183,387.7,0.97,0.0162,4.35,289.15,375.67,1228.3,27.26,19.09
-111.7105584,33.0822183,387.7,0.9292,0.0076,4.3,288.14,377.32,1226.18,27.2,19.12
-111.7105784,33.08222,387.7,0.8924,-0.0016,4.28,282.48,377.7,1224.4,27.18,19.13
-111.7105984,33.0822183,387.7,0.8545,-0.0115,4.3,271.74,376.95,1223.42,27.19,19.13
-111.71062,33.0822183,387.7,0.8189,-0.0229,4.35,257.03,375.9,1224,27.22,19.11
-111.7106417,33.0822183,387.8,0.7865,-0.0335,4.41,241.56,375.5,1226.79,27.25,19.08
-111.7106634,33.08222,387.8,0.7618,-0.0445,4.47,226.56,375.62,1230.98,27.27,19.05
-111.7106867,33.08222,387.9,0.7414,-0.0528,4.54,212.74,375.97,1234.96,27.28,19.02
-111.7107084,33.08222,388,0.731,-0.0576,4.6,205,376.82,1237.24,27.25,19.02
-111.71073,33.0822216,388,0.7296,-0.059,4.66,203.93,378.41,1238.98,27.19,19.06
-111.7107534,33.0822216,388,0.735,-0.058,4.71,208.94,380.46,1241.79,27.09,19.09
-111.710775,33.0822216,388,0.7477,-0.0539,4.76,215.85,382.18,1244.86,26.96,19.1
-111.7107984,33.0822216,387.9,0.7655,-0.0443,4.8,224.51,383.27,1247.39,26.81,19.09
-111.7108217,33.0822216,387.9,0.7861,-0.0343,4.85,231.75,383.79,1248.73,26.67,19.08
-111.710845,33.08222,387.9,0.8052,-0.022,4.9,238.56,384.74,1249.56,26.56,19.07
