Longitude,Latitude,Field,Dataset,Product,Obj. Id,Time,Duration(s),Area Count,Elevation(ft),Swth Wdth(ft),Y Offset(ft),Speed(mph),Distance(ft),Fuel Con(T)(gal(US)/h),Track(deg),Hrv Mass W(lb),Crop Flw(M)(lb/s),Moisture(%),Pass Num,Crop Flw(V)(bu/h),Yld Mass(Wet)(lb/ac),Yld_Mass_Dry_lb_ac,Yld Vol(Wet)(bu/ac),Yld Vol(Dry)(bu/ac),Prod(ac/h),Date
-111.7109074,33.08174838,Azule 1,TaskName 6/10/2024,Wheat (Durum),3147,6/10/2024,1.004,On,1293.9,40,0,1.89,2.858,12.47,270.03,12.67,13.1,7,1,785.73,5009.6,5009.6,83.49,83.49,9.411,6/10/2024
-111.7109166,33.08174832,Azule 1,TaskName 6/10/2024,Wheat (Durum),3148,6/10/2024,0.995,On,1293.9,40,0,1.952,2.809,14.37,270.12,11.96,12.59,7.04,1,755.13,4854.9,4854.9,80.92,80.92,9.332,6/10/2024
-111.7109258,33.08174844,Azule 1,TaskName 6/10/2024,Wheat (Durum),3149,6/10/2024,1,On,1293.9,40,0,1.993,2.809,16.07,270.25,12.52,11.97,7.1,1,718.39,4642,4642,77.37,77.37,9.286,6/10/2024
-111.7109353,33.08174864,Azule 1,TaskName 6/10/2024,Wheat (Durum),3150,6/10/2024,1.001,On,1293.9,40,0,1.946,2.902,14.07,270.41,13.39,12.58,7.1,1,754.56,4724.3,4724.3,78.74,78.74,9.583,6/10/2024
-111.7109445,33.08174879,Azule 1,TaskName 6/10/2024,Wheat (Durum),3151,6/10/2024,0.999,On,1293.9,40,0,1.942,2.814,14.06,270.45,13.68,13.46,7.06,1,807.6,5203.9,5203.9,86.73,86.73,9.311,6/10/2024
-111.7109538,33.08174879,Azule 1,TaskName 6/10/2024,Wheat (Durum),3152,6/10/2024,1,On,1293.9,40,0,1.927,2.853,13.5,270.5,13.28,13.62,6.96,1,817.43,5199.7,5199.7,86.66,86.66,9.432,6/10/2024
-111.7109631,33.08174885,Azule 1,TaskName 6/10/2024,Wheat (Durum),3153,6/10/2024,1,On,1293.9,40,0,1.926,2.847,13.47,270.53,13.46,13.32,6.9,1,799.35,5096.5,5096.5,84.94,84.94,9.411,6/10/2024
-111.7109725,33.08174896,Azule 1,TaskName 6/10/2024,Wheat (Durum),3154,6/10/2024,1,On,1293.9,40,0,1.969,2.889,13.31,270.56,13.18,13.49,6.86,1,809.47,5084.8,5084.8,84.75,84.75,9.552,6/10/2024
-111.7109819,33.08174879,Azule 1,TaskName 6/10/2024,Wheat (Durum),3155,6/10/2024,1,On,1294,40,0,1.922,2.853,12.75,270.33,12.81,13.08,6.8,1,784.6,4990.9,4990.9,83.18,83.18,9.432,6/10/2024
-111.7109911,33.08174873,Azule 1,TaskName 6/10/2024,Wheat (Durum),3156,6/10/2024,1,On,1293.9,40,0,1.949,2.83,14.08,270.33,13.04,12.8,6.8,1,768.02,4925.1,4925.1,82.09,82.09,9.356,6/10/2024
-111.7110004,33.08174876,Azule 1,TaskName 6/10/2024,Wheat (Durum),3157,6/10/2024,1.001,On,1293.9,40,0,1.971,2.843,14.75,270.16,13.96,13.11,6.8,1,786.64,5026.2,5026.2,83.77,83.77,9.39,6/10/2024
-111.7110098,33.08174866,Azule 1,TaskName 6/10/2024,Wheat (Durum),3158,6/10/2024,0.999,On,1294,40,0,1.904,2.88,13.44,270.01,14.26,14.01,6.8,1,840.4,5291.9,5291.9,88.2,88.2,9.529,6/10/2024
-111.711019,33.08174853,Azule 1,TaskName 6/10/2024,Wheat (Durum),3159,6/10/2024,1,On,1294,40,0,1.917,2.811,13.52,269.94,13.85,14.22,6.8,1,853.5,5511.6,5511.6,91.86,91.86,9.291,6/10/2024
-111.7110283,33.08174849,Azule 1,TaskName 6/10/2024,Wheat (Durum),3160,6/10/2024,1,On,1294.1,40,0,1.905,2.866,13.62,269.98,13.57,13.91,6.8,1,834.41,5283.5,5283.5,88.06,88.06,9.476,6/10/2024
-111.7110376,33.08174851,Azule 1,TaskName 6/10/2024,Wheat (Durum),3161,6/10/2024,1,On,1294.1,40,0,1.914,2.834,13.14,270.12,12.74,13.43,6.8,1,805.9,5162.1,5162.1,86.03,86.03,9.367,6/10/2024
-111.7110469,33.08174857,Azule 1,TaskName 6/10/2024,Wheat (Durum),3162,6/10/2024,0.995,On,1294,40,0,1.988,2.834,14.16,270.21,13.26,12.83,6.8,1,769.96,4907.2,4907.2,81.79,81.79,9.414,6/10/2024
-111.7110562,33.08174885,Azule 1,TaskName 6/10/2024,Wheat (Durum),3163,6/10/2024,1,On,1294,40,0,1.953,2.866,15.69,270.48,14.32,13.22,6.8,1,793.12,5022,5022,83.7,83.7,9.476,6/10/2024
-111.7110655,33.08174881,Azule 1,TaskName 6/10/2024,Wheat (Durum),3164,6/10/2024,1.005,On,1293.9,40,0,1.97,2.837,14.24,270.43,15.45,14.57,6.839,1,874.16,5620.7,5620.7,93.68,93.68,9.331,6/10/2024
-111.7110748,33.0817487,Azule 1,TaskName 6/10/2024,Wheat (Durum),3165,6/10/2024,1.001,On,1294,40,0,1.93,2.847,14.45,270.19,13.39,15.16,6.941,1,909.74,5806.1,5806.1,96.77,96.77,9.401,6/10/2024
-111.7110841,33.08174861,Azule 1,TaskName 6/10/2024,Wheat (Durum),3166,6/10/2024,0.995,On,1294,40,0,1.914,2.847,13.44,269.93,13.24,13.46,7.04,1,807.42,5122.2,5122.2,85.37,85.37,9.458,6/10/2024
-111.7110934,33.0817486,Azule 1,TaskName 6/10/2024,Wheat (Durum),3167,6/10/2024,1.004,On,1294,40,0,1.929,2.834,14.52,269.92,13.09,13.14,7.1,1,788.21,5068.9,5068.9,84.48,84.48,9.33,6/10/2024
-111.7111027,33.08174858,Azule 1,TaskName 6/10/2024,Wheat (Durum),3168,6/10/2024,1,On,1294,40,0,1.919,2.86,13.81,269.93,14,13.27,7.1,1,796.37,5054.2,5054.2,84.24,84.24,9.454,6/10/2024
-111.7111119,33.0817486,Azule 1,TaskName 6/10/2024,Wheat (Durum),3169,6/10/2024,1,On,1293.9,40,0,1.993,2.83,13.01,269.91,12.99,13.88,7.138,1,832.85,5340.8,5340.8,89.01,89.01,9.356,6/10/2024
-111.7111214,33.08174866,Azule 1,TaskName 6/10/2024,Wheat (Durum),3170,6/10/2024,0.996,On,1293.9,40,0,1.992,2.886,13.82,269.95,12.43,12.99,7.2,1,779.36,4881.6,4881.6,81.36,81.36,9.579,6/10/2024
-111.7111307,33.08174857,Azule 1,TaskName 6/10/2024,Wheat (Durum),3171,6/10/2024,1,On,1293.9,40,0,1.938,2.85,14.39,269.89,12.24,12.35,7.2,1,740.73,4717.3,4717.3,78.62,78.62,9.421,6/10/2024
-111.71114,33.0817485,Azule 1,TaskName 6/10/2024,Wheat (Durum),3172,6/10/2024,1,On,1293.9,40,0,1.95,2.863,13.49,269.84,12.64,12.33,7.24,1,739.95,4690.7,4690.7,78.18,78.18,9.465,6/10/2024
-111.7111494,33.08174857,Azule 1,TaskName 6/10/2024,Wheat (Durum),3173,6/10/2024,1,On,1294,40,0,1.944,2.866,12.9,269.95,12.77,12.57,7.3,1,753.97,4774.1,4774.1,79.57,79.57,9.476,6/10/2024
-111.7111587,33.0817485,Azule 1,TaskName 6/10/2024,Wheat (Durum),3174,6/10/2024,1,On,1294,40,0,1.918,2.857,13.65,270.02,13.53,12.83,7.3,1,769.95,4892.1,4892.1,81.54,81.54,9.443,6/10/2024
-111.7111681,33.08174864,Azule 1,TaskName 6/10/2024,Wheat (Durum),3175,6/10/2024,1.004,On,1294,40,0,1.953,2.857,12.76,270.23,14.08,13.63,7.26,1,817.81,5217,5217,86.95,86.95,9.406,6/10/2024
-111.7111773,33.08174871,Azule 1,TaskName 6/10/2024,Wheat (Durum),3176,6/10/2024,0.996,On,1294,40,0,1.916,2.83,15.21,270.27,13.61,14.01,7.16,1,840.81,5370.3,5370.3,89.51,89.51,9.394,6/10/2024
-111.7111867,33.08174887,Azule 1,TaskName 6/10/2024,Wheat (Durum),3177,6/10/2024,1.004,On,1294,40,0,1.926,2.883,13.75,270.43,13.41,13.63,7.06,1,817.85,5169.8,5169.8,86.16,86.16,9.492,6/10/2024
-111.7111959,33.08174897,Azule 1,TaskName 6/10/2024,Wheat (Durum),3178,6/10/2024,1,On,1294,40,0,1.947,2.817,12.6,270.38,13.87,13.45,6.96,1,807.3,5201.1,5201.1,86.68,86.68,9.313,6/10/2024
-111.7112053,33.08174881,Azule 1,TaskName 6/10/2024,Wheat (Durum),3179,6/10/2024,0.995,On,1294,40,0,1.948,2.876,12.3,270.01,13.59,13.8,6.9,1,827.8,5197.6,5197.6,86.63,86.63,9.556,6/10/2024
-111.7112145,33.08174867,Azule 1,TaskName 6/10/2024,Wheat (Durum),3180,6/10/2024,1,On,1294,40,0,1.945,2.805,12.97,269.88,13.37,13.61,6.9,1,816.62,5284.3,5284.3,88.07,88.07,9.272,6/10/2024
-111.7112238,33.08174859,Azule 1,TaskName 6/10/2024,Wheat (Durum),3181,6/10/2024,1.005,On,1294,40,0,1.944,2.858,17.71,269.74,13.17,13.42,6.9,1,805.07,5138.4,5138.4,85.64,85.64,9.401,6/10/2024
-111.7112332,33.08174853,Azule 1,TaskName 6/10/2024,Wheat (Durum),3182,6/10/2024,0.995,On,1294,40,0,1.955,2.868,13.78,269.79,12.47,13.06,6.86,1,783.35,4933.1,4933.1,82.22,82.22,9.528,6/10/2024
-111.7112426,33.08174849,Azule 1,TaskName 6/10/2024,Wheat (Durum),3183,6/10/2024,1,On,1294.1,40,0,1.95,2.878,13.72,269.74,12.78,12.55,6.8,1,752.82,4748.3,4748.3,79.14,79.14,9.513,6/10/2024
-111.7112519,33.08174832,Azule 1,TaskName 6/10/2024,Wheat (Durum),3184,6/10/2024,1,On,1294.1,40,0,1.931,2.841,13.51,269.56,11.91,12.67,6.761,1,759.96,4854.2,4854.2,80.9,80.9,9.393,6/10/2024
-111.7112612,33.08174826,Azule 1,TaskName 6/10/2024,Wheat (Durum),3185,6/10/2024,1.001,On,1294.1,40,0,1.931,2.861,13.7,269.55,12.08,11.99,6.74,1,719.38,4568,4568,76.13,76.13,9.449,6/10/2024
-111.7112705,33.08174835,Azule 1,TaskName 6/10/2024,Wheat (Durum),3186,6/10/2024,0.999,On,1294,40,0,1.994,2.848,13.51,269.82,11.93,11.98,6.839,1,718.86,4576.6,4576.6,76.28,76.28,9.424,6/10/2024
-111.71128,33.08174839,Azule 1,TaskName 6/10/2024,Wheat (Durum),3187,6/10/2024,1,On,1294,40,0,1.937,2.897,13.35,270.05,13.51,12.07,6.941,1,724.08,4536.1,4536.1,75.6,75.6,9.578,6/10/2024
-111.7112893,33.08174875,Azule 1,TaskName 6/10/2024,Wheat (Durum),3188,6/10/2024,1,On,1294,40,0,1.967,2.841,13.2,270.37,13.43,13.5,7.039,1,810.14,5174.8,5174.8,86.25,86.25,9.393,6/10/2024
-111.7112985,33.08174854,Azule 1,TaskName 6/10/2024,Wheat (Durum),3189,6/10/2024,1,On,1294,40,0,1.935,2.822,14.06,269.91,13.44,13.51,7.14,1,810.35,5212.2,5212.2,86.87,86.87,9.328,6/10/2024
-111.711308,33.08174838,Azule 1,TaskName 6/10/2024,Wheat (Durum),3190,6/10/2024,1,On,1294,40,0,1.965,2.904,12.24,269.77,13.43,13.42,7.2,1,805,5031.6,5031.6,83.86,83.86,9.599,6/10/2024
-111.7113172,33.08174828,Azule 1,TaskName 6/10/2024,Wheat (Durum),3191,6/10/2024,1,On,1293.9,40,0,1.944,2.832,13.06,269.77,14.37,13.52,7.2,1,811.02,5198.4,5198.4,86.64,86.64,9.361,6/10/2024
-111.7113265,33.08174842,Azule 1,TaskName 6/10/2024,Wheat (Durum),3192,6/10/2024,1,On,1293.9,40,0,1.955,2.851,13.08,270.05,14.66,14.41,7.161,1,864.44,5502.6,5502.6,91.71,91.71,9.426,6/10/2024
-111.7113358,33.08174871,Azule 1,TaskName 6/10/2024,Wheat (Durum),3193,6/10/2024,1,On,1293.9,40,0,1.957,2.838,13.11,270.39,14.18,14.59,7.1,1,875.15,5596.5,5596.5,93.27,93.27,9.382,6/10/2024
-111.711345,33.08174869,Azule 1,TaskName 6/10/2024,Wheat (Durum),3194,6/10/2024,1,On,1293.9,40,0,1.946,2.825,14.73,270.3,13.65,14.19,7.14,1,851.32,5469.4,5469.4,91.16,91.16,9.339,6/10/2024
-111.7113543,33.08174883,Azule 1,TaskName 6/10/2024,Wheat (Durum),3195,6/10/2024,1,On,1294,40,0,1.903,2.845,17.05,270.26,13.67,13.66,7.2,1,819.35,5227.6,5227.6,87.13,87.13,9.404,6/10/2024
-111.7113636,33.08174871,Azule 1,TaskName 6/10/2024,Wheat (Durum),3196,6/10/2024,1,On,1294.1,40,0,1.937,2.828,14.31,270.08,13.34,13.66,7.239,1,819.44,5258.4,5258.4,87.64,87.64,9.35,6/10/2024
-111.711373,33.08174869,Azule 1,TaskName 6/10/2024,Wheat (Durum),3197,6/10/2024,1,On,1294.1,40,0,1.886,2.887,12.72,270.18,12.92,13.28,7.341,1,796.54,5007,5007,83.45,83.45,9.545,6/10/2024
-111.711382,33.08174875,Azule 1,TaskName 6/10/2024,Wheat (Durum),3198,6/10/2024,1,On,1294.2,40,0,1.901,2.766,18.59,270.19,13.49,13,7.361,1,780.07,5118.6,5118.6,85.31,85.31,9.144,6/10/2024
-111.7113914,33.08174871,Azule 1,TaskName 6/10/2024,Wheat (Durum),3199,6/10/2024,1,On,1294.1,40,0,1.938,2.881,14.74,270.11,14.02,13.49,7.3,1,809.61,5100.7,5100.7,85.01,85.01,9.523,6/10/2024
-111.7114007,33.0817488,Azule 1,TaskName 6/10/2024,Wheat (Durum),3200,6/10/2024,0.996,On,1294.1,40,0,1.967,2.845,14.92,270.19,14.08,14.09,7.259,1,845.34,5371.8,5371.8,89.53,89.53,9.442,6/10/2024
-111.7114099,33.08174871,Azule 1,TaskName 6/10/2024,Wheat (Durum),3201,6/10/2024,1.004,On,1294,40,0,1.95,2.819,13.42,269.94,13.8,13.99,7.159,1,839.22,5425.8,5425.8,90.43,90.43,9.28,6/10/2024
-111.7114191,33.08174851,Azule 1,TaskName 6/10/2024,Wheat (Durum),3202,6/10/2024,1,On,1294.1,40,0,1.918,2.815,13.29,269.77,14.04,13.89,7.06,1,833.51,5373.7,5373.7,89.56,89.56,9.307,6/10/2024
-111.7114285,33.08174852,Azule 1,TaskName 6/10/2024,Wheat (Durum),3203,6/10/2024,0.996,On,1294.1,40,0,1.95,2.887,12.42,269.7,13.7,14,7,1,839.97,5258.9,5258.9,87.65,87.65,9.584,6/10/2024
-111.7114378,33.08174835,Azule 1,TaskName 6/10/2024,Wheat (Durum),3204,6/10/2024,1.004,On,1294,40,0,1.932,2.838,13.03,269.66,13.5,13.66,7,1,819.32,5260.4,5260.4,87.67,87.67,9.345,6/10/2024
-111.7114472,33.08174848,Azule 1,TaskName 6/10/2024,Wheat (Durum),3205,6/10/2024,1,On,1294,40,0,1.967,2.881,13.64,269.88,13.46,13.52,7,1,811.44,5112.2,5112.2,85.2,85.2,9.523,6/10/2024
-111.7114564,33.0817485,Azule 1,TaskName 6/10/2024,Wheat (Durum),3206,6/10/2024,0.995,On,1293.9,40,0,1.981,2.825,15.67,269.85,13.65,13.52,7,1,811.04,5184.6,5184.6,86.41,86.41,9.386,6/10/2024
-111.7114658,33.08174867,Azule 1,TaskName 6/10/2024,Wheat (Durum),3207,6/10/2024,1.006,On,1293.9,40,0,1.969,2.864,14.17,270.08,13.43,13.59,7,1,815.26,5196.8,5196.8,86.61,86.61,9.413,6/10/2024
-111.7114752,33.08174868,Azule 1,TaskName 6/10/2024,Wheat (Durum),3208,6/10/2024,0.999,On,1293.9,40,0,1.918,2.868,14.05,270.03,14.11,13.46,7.041,1,807.57,5106.1,5106.1,85.1,85.1,9.49,6/10/2024
-111.7114845,33.0817487,Azule 1,TaskName 6/10/2024,Wheat (Durum),3209,6/10/2024,0.996,On,1294,40,0,1.937,2.864,13.31,270.07,14.35,14.17,7.1,1,850.27,5366,5366,89.43,89.43,9.507,6/10/2024
-111.7114939,33.08174879,Azule 1,TaskName 6/10/2024,Wheat (Durum),3210,6/10/2024,1.004,On,1294,40,0,1.918,2.863,14.36,270.03,14.19,14.32,7.1,1,858.93,5467.6,5467.6,91.13,91.13,9.426,6/10/2024
-111.7115031,33.08174856,Azule 1,TaskName 6/10/2024,Wheat (Durum),3211,6/10/2024,0.995,On,1294.1,40,0,1.939,2.816,13.95,269.73,13.62,14.14,7.1,1,848.32,5441.2,5441.2,90.69,90.69,9.354,6/10/2024
-111.7115124,33.08174848,Azule 1,TaskName 6/10/2024,Wheat (Durum),3212,6/10/2024,1,On,1294.1,40,0,1.923,2.861,13.63,269.73,13.73,13.7,7.1,1,822.06,5214.3,5214.3,86.9,86.9,9.459,6/10/2024
-111.7115217,33.08174848,Azule 1,TaskName 6/10/2024,Wheat (Durum),3213,6/10/2024,1.005,On,1294.1,40,0,1.949,2.855,14.39,269.88,13.48,13.7,7.1,1,821.72,5250.2,5250.2,87.5,87.5,9.391,6/10/2024
-111.7115311,33.08174852,Azule 1,TaskName 6/10/2024,Wheat (Durum),3214,6/10/2024,1,On,1294,40,0,1.94,2.848,13.19,270.02,13.54,13.42,7.06,1,805.03,5129.8,5129.8,85.5,85.5,9.416,6/10/2024
-111.7115402,33.08174853,Azule 1,TaskName 6/10/2024,Wheat (Durum),3215,6/10/2024,0.995,On,1294.1,40,0,1.873,2.802,16.16,270.02,14.38,13.66,6.959,1,819.49,5281,5281,88.02,88.02,9.311,6/10/2024
-111.7115495,33.08174837,Azule 1,TaskName 6/10/2024,Wheat (Durum),3216,6/10/2024,1.005,On,1294.1,40,0,1.962,2.858,13.87,269.69,14.63,14.36,6.861,1,861.52,5498.2,5498.2,91.64,91.64,9.402,6/10/2024
-111.7115588,33.08174825,Azule 1,TaskName 6/10/2024,Wheat (Durum),3217,6/10/2024,1,On,1294,40,0,1.945,2.835,15.12,269.7,14.37,14.68,6.8,1,880.63,5637.5,5637.5,93.96,93.96,9.373,6/10/2024
-111.7115682,33.08174841,Azule 1,TaskName 6/10/2024,Wheat (Durum),3218,6/10/2024,0.995,On,1294,40,0,1.951,2.875,14.86,270.06,14,14.32,6.8,1,859.33,5398.6,5398.6,89.98,89.98,9.55,6/10/2024
-111.7115775,33.08174868,Azule 1,TaskName 6/10/2024,Wheat (Durum),3219,6/10/2024,1,On,1294,40,0,1.972,2.835,13.48,270.16,14.55,14.01,6.8,1,840.43,5380.2,5380.2,89.67,89.67,9.373,6/10/2024
-111.7115869,33.08174872,Azule 1,TaskName 6/10/2024,Wheat (Durum),3220,6/10/2024,1.001,On,1294.1,40,0,1.936,2.878,14.82,270.09,15.42,14.68,6.841,1,880.59,5559.2,5559.2,92.65,92.65,9.504,6/10/2024
-111.7115961,33.08174847,Azule 1,TaskName 6/10/2024,Wheat (Durum),3221,6/10/2024,0.999,On,1294.1,40,0,1.965,2.832,12.85,269.81,15.36,15.32,6.861,1,918.93,5883.6,5883.6,98.06,98.06,9.371,6/10/2024
-111.7116054,33.08174844,Azule 1,TaskName 6/10/2024,Wheat (Durum),3222,6/10/2024,1.005,On,1294.1,40,0,1.924,2.839,14.83,269.82,15.62,15.44,6.8,1,926.51,5953.9,5953.9,99.23,99.23,9.337,6/10/2024
-111.7116147,33.08174846,Azule 1,TaskName 6/10/2024,Wheat (Durum),3223,6/10/2024,0.995,On,1294.1,40,0,1.914,2.829,14,269.92,13.38,15.54,6.8,1,932.29,5952.1,5952.1,99.2,99.2,9.398,6/10/2024
-111.711624,33.08174854,Azule 1,TaskName 6/10/2024,Wheat (Durum),3224,6/10/2024,1,On,1294.1,40,0,1.929,2.855,14.1,270.09,11.72,13.15,6.8,1,789.07,5016.5,5016.5,83.61,83.61,9.438,6/10/2024
-111.7116332,33.08174861,Azule 1,TaskName 6/10/2024,Wheat (Durum),3225,6/10/2024,1,On,1294.2,40,0,1.873,2.822,13.84,270.09,13.69,11.99,6.8,1,719.55,4627.7,4627.7,77.13,77.13,9.329,6/10/2024
-111.7116426,33.0817486,Azule 1,TaskName 6/10/2024,Wheat (Durum),3226,6/10/2024,1,On,1294.1,40,0,1.975,2.865,14.19,270.09,13.26,13.68,6.8,1,820.78,5200.2,5200.2,86.67,86.67,9.47,6/10/2024
-111.7116519,33.08174861,Azule 1,TaskName 6/10/2024,Wheat (Durum),3227,6/10/2024,1,On,1294.1,40,0,1.96,2.832,13.75,270.09,10.74,13.19,6.8,1,791.67,5073.9,5073.9,84.56,84.56,9.362,6/10/2024
-111.7116611,33.08174851,Azule 1,TaskName 6/10/2024,Wheat (Durum),3228,6/10/2024,1,On,1294.1,40,0,1.936,2.816,16.37,270.02,6.63,10.32,6.8,1,619.22,3991.8,3991.8,66.53,66.53,9.308,6/10/2024
-111.7116798,33.08174872,Azule 1,TaskName 6/10/2024,Wheat (Durum),3230,6/10/2024,1.001,On,1294.1,13.51,8.27,1.916,2.891,13.75,270.12,3.415,5.235,6.8,1,314.1,5845.5,5845.5,97.43,97.43,3.224,6/10/2024
-111.7116734,33.08216005,Azule 1,TaskName 6/10/2024,Wheat (Durum),3232,6/10/2024,1.004,On,1293.8,25.52,7.26,0.767,1.127,7.763,75.64,4.865,4.085,7.8,2,245.1,6213.5,6213.5,103.56,103.56,2.367,6/10/2024
-111.7116704,33.0821613,Azule 1,TaskName 6/10/2024,Wheat (Durum),3233,6/10/2024,0.996,On,1293.9,29.03,5.505,0.672,1.028,7.927,74.44,5.507,4.881,7.8,2,292.86,7095.1,7095.1,118.25,118.25,2.477,6/10/2024
-111.7116671,33.08216214,Azule 1,TaskName 6/10/2024,Wheat (Durum),3234,6/10/2024,1.004,On,1293.9,33.02,3.502,0.675,1.041,8.013,74.2,6.208,5.584,7.8,2,335.03,7102.6,7102.6,118.38,118.38,2.83,6/10/2024
-111.7116639,33.0821631,Azule 1,TaskName 6/10/2024,Wheat (Durum),3235,6/10/2024,0.996,On,1293.9,36.51,1.75,0.73,1.041,8.107,73.83,6.461,6.241,7.721,2,374.43,7121.8,7121.8,118.7,118.7,3.155,6/10/2024
-111.7116607,33.08216438,Azule 1,TaskName 6/10/2024,Wheat (Durum),3236,6/10/2024,1.004,On,1294,38.01,1,0.708,1.074,8.998,72.7,7.046,6.443,7.7,2,386.57,6902.4,6902.4,115.04,115.04,3.36,6/10/2024
-111.7116571,33.08216572,Azule 1,TaskName 6/10/2024,Wheat (Durum),3237,6/10/2024,0.996,On,1293.9,38.5,0.75,0.75,1.186,8.418,71.89,6.522,7.132,7.7,2,427.92,6778,6778,112.97,112.97,3.788,6/10/2024
-111.7116536,33.08216719,Azule 1,TaskName 6/10/2024,Wheat (Durum),3238,6/10/2024,1.004,On,1294,38.01,1,0.761,1.182,8.433,71.08,6.908,6.413,7.7,2,384.78,6241.4,6241.4,104.02,104.02,3.699,6/10/2024
-111.7116501,33.08216857,Azule 1,TaskName 6/10/2024,Wheat (Durum),3239,6/10/2024,0.996,On,1294,37.51,1.25,0.767,1.173,9.311,70.41,7.052,6.98,7.7,2,418.78,6885.8,6885.8,114.76,114.76,3.649,6/10/2024
-111.7116466,33.08216986,Azule 1,TaskName 6/10/2024,Wheat (Durum),3240,6/10/2024,1.004,On,1294,37.51,1.25,0.77,1.175,9.293,69.81,7.982,7.042,7.541,2,422.52,6986.5,6986.5,116.44,116.44,3.629,6/10/2024
-111.7116432,33.08217108,Azule 1,TaskName 6/10/2024,Wheat (Durum),3241,6/10/2024,0.996,On,1294,37.01,1.5,0.758,1.133,8.742,69.44,7.864,8.109,7.339,2,486.54,8393,8393,139.88,139.88,3.478,6/10/2024
-111.7116396,33.0821728,Azule 1,TaskName 6/10/2024,Wheat (Durum),3242,6/10/2024,1,On,1294,36.01,2.001,0.841,1.261,10.16,68.61,7.629,7.764,7.136,2,465.86,7450.3,7450.3,124.17,124.17,3.752,6/10/2024
-111.7116359,33.08217404,Azule 1,TaskName 6/10/2024,Wheat (Durum),3243,6/10/2024,1,On,1294,35.51,2.251,0.849,1.225,9.78,68.46,7.476,7.663,6.942,2,459.77,7675.9,7675.9,127.93,127.93,3.594,6/10/2024
-111.711632,33.08217549,Azule 1,TaskName 6/10/2024,Wheat (Durum),3244,6/10/2024,1.004,On,1294,35.01,2.501,0.869,1.297,9.218,68.34,7.461,7.427,6.821,2,445.64,7154.6,7154.6,119.24,119.24,3.737,6/10/2024
-111.7116282,33.08217673,Azule 1,TaskName 6/10/2024,Wheat (Durum),3245,6/10/2024,1,On,1294,35.01,2.501,0.895,1.261,9.713,68.53,6.773,7.468,6.721,2,448.07,7370.1,7370.1,122.83,122.83,3.648,6/10/2024
-111.7116238,33.08217812,Azule 1,TaskName 6/10/2024,Wheat (Durum),3246,6/10/2024,1,On,1294,34.51,2.751,0.954,1.461,10.41,68.82,6.729,6.688,6.7,2,401.29,5778.6,5778.6,96.31,96.31,4.167,6/10/2024
-111.7116189,33.08217972,Azule 1,TaskName 6/10/2024,Wheat (Durum),3247,6/10/2024,0.996,On,1293.9,33.52,3.252,1.072,1.608,10.02,68.86,6.525,6.786,6.7,2,407.16,5461.4,5461.4,91.02,91.02,4.473,6/10/2024
-111.7116139,33.08218122,Azule 1,TaskName 6/10/2024,Wheat (Durum),3248,6/10/2024,1.004,On,1293.9,33.02,3.502,1.136,1.638,10.75,69.08,7.068,6.468,6.7,2,388.1,5230.8,5230.8,87.18,87.18,4.452,6/10/2024
-111.7116089,33.08218221,Azule 1,TaskName 6/10/2024,Wheat (Durum),3249,6/10/2024,0.996,On,1293.9,32.52,3.752,1.065,1.559,11.14,70,6.14,7.128,6.62,2,427.69,6099.3,6099.3,101.66,101.66,4.207,6/10/2024
-111.7116038,33.08218269,Azule 1,TaskName 6/10/2024,Wheat (Durum),3250,6/10/2024,1.004,On,1293.9,32.02,4.002,1.073,1.553,11.94,71.64,5.679,6.068,6.6,2,364.07,5337.7,5337.7,88.96,88.96,4.092,6/10/2024
-111.7115987,33.08218248,Azule 1,TaskName 6/10/2024,Wheat (Durum),3251,6/10/2024,0.996,On,1293.9,32.02,4.002,1.104,1.5,10.81,73.86,5.812,5.667,6.6,2,340,5118.2,5118.2,85.3,85.3,3.986,6/10/2024
-111.7115936,33.08218258,Azule 1,TaskName 6/10/2024,Wheat (Durum),3252,6/10/2024,1.004,On,1293.9,32.02,4.002,1.058,1.517,11.37,75.5,5.915,5.802,6.6,2,348.12,5225.3,5225.3,87.09,87.09,3.997,6/10/2024
-111.7115883,33.0821822,Azule 1,TaskName 6/10/2024,Wheat (Durum),3253,6/10/2024,0.996,On,1293.9,32.02,4.002,1.07,1.562,10.58,77.71,6.16,5.947,6.521,2,356.81,5156.9,5156.9,85.95,85.95,4.151,6/10/2024
-111.7115833,33.08218198,Azule 1,TaskName 6/10/2024,Wheat (Durum),3254,6/10/2024,1,On,1293.9,32.02,4.002,0.991,1.513,10.1,79.31,5.961,6.152,6.5,2,369.12,5530.5,5530.5,92.17,92.17,4.005,6/10/2024
-111.7115782,33.08218124,Azule 1,TaskName 6/10/2024,Wheat (Durum),3255,6/10/2024,1,On,1293.9,32.02,4.002,1.019,1.523,10.08,81.45,5.779,5.966,6.5,2,357.94,5328.3,5328.3,88.81,88.81,4.031,6/10/2024
-111.711573,33.08218043,Azule 1,TaskName 6/10/2024,Wheat (Durum),3256,6/10/2024,1,On,1293.9,32.52,3.752,1.067,1.549,9.634,83.63,5.829,5.77,6.5,2,346.23,4988.9,4988.9,83.15,83.15,4.164,6/10/2024
